"","X","ID","Age.3","Stimuli","Trial","Gender","Condition","Answer"
"1",421,1,"5-6 group","C",NA,"Female","Action Possible",1
"2",422,1,"5-6 group","C",NA,"Female","Action Impossible",0
"3",423,1,"5-6 group","C",NA,"Female","Action Impossible",0
"4",424,1,"5-6 group","C",NA,"Female","Action Possible",1
"5",425,1,"5-6 group","C",1,"Female","No Evidence",1
"6",426,1,"5-6 group","C",2,"Female","No Evidence",1
"7",427,1,"5-6 group","C",3,"Female","Strong Evidence",1
"8",428,1,"5-6 group","C",4,"Female","Strong Evidence",0
"9",429,1,"5-6 group","C",5,"Female","Counter Evidence",1
"10",430,1,"5-6 group","C",6,"Female","Counter Evidence",1
"11",371,2,"5-6 group","B",NA,"Male","Action Possible",1
"12",372,2,"5-6 group","B",NA,"Male","Action Impossible",1
"13",373,2,"5-6 group","B",NA,"Male","Action Impossible",0
"14",374,2,"5-6 group","B",NA,"Male","Action Possible",1
"15",375,2,"5-6 group","B",1,"Male","No Evidence",1
"16",376,2,"5-6 group","B",2,"Male","No Evidence",1
"17",377,2,"5-6 group","B",3,"Male","Strong Evidence",0
"18",378,2,"5-6 group","B",4,"Male","Strong Evidence",1
"19",379,2,"5-6 group","B",5,"Male","Counter Evidence",1
"20",380,2,"5-6 group","B",6,"Male","Counter Evidence",0
"21",351,3,"5-6 group","B",NA,"Female","Action Possible",1
"22",352,3,"5-6 group","B",NA,"Female","Action Impossible",1
"23",353,3,"5-6 group","B",NA,"Female","Action Impossible",1
"24",354,3,"5-6 group","B",NA,"Female","Action Possible",1
"25",355,3,"5-6 group","B",1,"Female","No Evidence",1
"26",356,3,"5-6 group","B",2,"Female","No Evidence",0
"27",357,3,"5-6 group","B",3,"Female","Strong Evidence",0
"28",358,3,"5-6 group","B",4,"Female","Strong Evidence",1
"29",359,3,"5-6 group","B",5,"Female","Counter Evidence",1
"30",360,3,"5-6 group","B",6,"Female","Counter Evidence",1
"31",61,4,"5-6 group","C",NA,"Male","Action Possible",1
"32",62,4,"5-6 group","C",NA,"Male","Action Impossible",0
"33",63,4,"5-6 group","C",NA,"Male","Action Impossible",0
"34",64,4,"5-6 group","C",NA,"Male","Action Possible",1
"35",65,4,"5-6 group","C",1,"Male","No Evidence",1
"36",66,4,"5-6 group","C",2,"Male","No Evidence",1
"37",67,4,"5-6 group","C",3,"Male","Strong Evidence",1
"38",68,4,"5-6 group","C",4,"Male","Strong Evidence",0
"39",69,4,"5-6 group","C",5,"Male","Counter Evidence",1
"40",70,4,"5-6 group","C",6,"Male","Counter Evidence",1
"41",51,5,"5-6 group","C",NA,"Male","Action Possible",1
"42",52,5,"5-6 group","C",NA,"Male","Action Impossible",0
"43",53,5,"5-6 group","C",NA,"Male","Action Impossible",0
"44",54,5,"5-6 group","C",NA,"Male","Action Possible",1
"45",55,5,"5-6 group","C",1,"Male","No Evidence",1
"46",56,5,"5-6 group","C",2,"Male","No Evidence",1
"47",57,5,"5-6 group","C",3,"Male","Strong Evidence",1
"48",58,5,"5-6 group","C",4,"Male","Strong Evidence",0
"49",59,5,"5-6 group","C",5,"Male","Counter Evidence",1
"50",60,5,"5-6 group","C",6,"Male","Counter Evidence",1
"51",411,6,"7-8 group","C",NA,"Female","Action Possible",1
"52",412,6,"7-8 group","C",NA,"Female","Action Impossible",1
"53",413,6,"7-8 group","C",NA,"Female","Action Impossible",0
"54",414,6,"7-8 group","C",NA,"Female","Action Possible",1
"55",415,6,"7-8 group","C",1,"Female","No Evidence",1
