"","X","ID","Age.3","Stimuli","Trial","Condition","Answer","Gender"
"1",221,1,"7-8 group","D",NA,"Action Possible",1,"Female"
"2",222,1,"7-8 group","D",NA,"Action Impossible",NA,"Female"
"3",223,1,"7-8 group","D",NA,"Action Impossible",0,"Female"
"4",224,1,"7-8 group","D",NA,"Action Possible",1,"Female"
"5",225,1,"7-8 group","D",1,"Opinion",1,"Female"
"6",226,1,"7-8 group","D",2,"Opinion",1,"Female"
"7",227,1,"7-8 group","D",3,"Moral",0,"Female"
"8",228,1,"7-8 group","D",4,"Moral",0,"Female"
"9",229,1,"7-8 group","D",5,"Immoral",1,"Female"
"10",230,1,"7-8 group","D",6,"Immoral",1,"Female"
"11",61,2,"7-8 group","F",NA,"Action Possible",1,"Female"
"12",62,2,"7-8 group","F",NA,"Action Impossible",0,"Female"
"13",63,2,"7-8 group","F",NA,"Action Impossible",0,"Female"
"14",64,2,"7-8 group","F",NA,"Action Possible",0,"Female"
"15",65,2,"7-8 group","F",1,"Opinion",1,"Female"
"16",66,2,"7-8 group","F",2,"Opinion",0,"Female"
"17",67,2,"7-8 group","F",3,"Moral",0,"Female"
"18",68,2,"7-8 group","F",4,"Moral",0,"Female"
"19",69,2,"7-8 group","F",5,"Immoral",1,"Female"
"20",70,2,"7-8 group","F",6,"Immoral",1,"Female"
"21",151,3,"5-6 group","D",NA,"Action Possible",1,"Male"
"22",152,3,"5-6 group","D",NA,"Action Impossible",0,"Male"
"23",153,3,"5-6 group","D",NA,"Action Impossible",0,"Male"
"24",154,3,"5-6 group","D",NA,"Action Possible",1,"Male"
"25",155,3,"5-6 group","D",1,"Opinion",1,"Male"
"26",156,3,"5-6 group","D",2,"Opinion",1,"Male"
"27",157,3,"5-6 group","D",3,"Moral",1,"Male"
"28",158,3,"5-6 group","D",4,"Moral",1,"Male"
"29",159,3,"5-6 group","D",5,"Immoral",1,"Male"
"30",160,3,"5-6 group","D",6,"Immoral",1,"Male"
"31",101,4,"7-8 group","D",NA,"Action Possible",1,"Female"
"32",102,4,"7-8 group","D",NA,"Action Impossible",0,"Female"
"33",103,4,"7-8 group","D",NA,"Action Impossible",0,"Female"
"34",104,4,"7-8 group","D",NA,"Action Possible",1,"Female"
"35",105,4,"7-8 group","D",1,"Opinion",1,"Female"
"36",106,4,"7-8 group","D",2,"Opinion",1,"Female"
"37",107,4,"7-8 group","D",3,"Moral",0,"Female"
"38",108,4,"7-8 group","D",4,"Moral",0,"Female"
"39",109,4,"7-8 group","D",5,"Immoral",1,"Female"
"40",110,4,"7-8 group","D",6,"Immoral",1,"Female"
"41",771,5,"5-6 group","E",NA,"Action Possible",1,"Male"
"42",772,5,"5-6 group","E",NA,"Action Impossible",0,"Male"
"43",773,5,"5-6 group","E",NA,"Action Impossible",1,"Male"
"44",774,5,"5-6 group","E",NA,"Action Possible",1,"Male"
"45",775,5,"5-6 group","E",1,"Opinion",1,"Male"
"46",776,5,"5-6 group","E",2,"Opinion",1,"Male"
"47",777,5,"5-6 group","E",3,"Moral",0,"Male"
"48",778,5,"5-6 group","E",4,"Moral",0,"Male"
"49",779,5,"5-6 group","E",5,"Immoral",1,"Male"
"50",780,5,"5-6 group","E",6,"Immoral",1,"Male"
"51",661,6,"7-8 group","D",NA,"Action Possible",1,"Female"
"52",662,6,"7-8 group","D",NA,"Action Impossible",0,"Female"
"53",663,6,"7-8 group","D",NA,"Action Impossible",0,"Female"
"54",664,6,"7-8 group","D",NA,"Action Possible",1,"Female"
"55",665,6,"7-8 group","D",1,"Opinion",1,"Female"
"56",666,6,"7-8 group","D",2,"Opinion",1,"Female"
"57",667,6,"7-8 group","D",3,"Moral",1,"Female"
"58",668,6,"7-8 group","D",4,"Moral",1,"Female"
"59",669,6,"7-8 group","D",5,"Immoral",1,"Female"
"60",670,6,"7-8 group","D",6,"Immoral",1,"Female"
"61",761,7,"7-8 group","D",NA,"Action Possible",1,"Female"
"62",762,7,"7-8 group","D",NA,"Action Impossible",1,"Female"
"63",763,7,"7-8 group","D",NA,"Action Impossible",1,"Female"
"64",764,7,"7-8 group","D",NA,"Action Possible",1,"Female"
"65",765,7,"7-8 group","D",1,"Opinion",1,"Female"
"66",766,7,"7-8 group","D",2,"Opinion",1,"Female"
"67",767,7,"7-8 group","D",3,"Moral",1,"Female"
"68",768,7,"7-8 group","D",4,"Moral",1,"Female"
"69",769,7,"7-8 group","D",5,"Immoral",1,"Female"
"70",770,7,"7-8 group","D",6,"Immoral",1,"Female"
"71",691,8,"7-8 group","F",NA,"Action Possible",1,"Female"
"72",692,8,"7-8 group","F",NA,"Action Impossible",0,"Female"
"73",693,8,"7-8 group","F",NA,"Action Impossible",0,"Female"
"74",694,8,"7-8 group","F",NA,"Action Possible",1,"Female"
"75",695,8,"7-8 group","F",1,"Opinion",1,"Female"
"76",696,8,"7-8 group","F",2,"Opinion",1,"Female"
"77",697,8,"7-8 group","F",3,"Moral",0,"Female"
"78",698,8,"7-8 group","F",4,"Moral",0,"Female"
"79",699,8,"7-8 group","F",5,"Immoral",1,"Female"
"80",700,8,"7-8 group","F",6,"Immoral",1,"Female"
"81",481,9,"7-8 group","D",NA,"Action Possible",1,"Male"
"82",482,9,"7-8 group","D",NA,"Action Impossible",0,"Male"
"83",483,9,"7-8 group","D",NA,"Action Impossible",0,"Male"
"84",484,9,"7-8 group","D",NA,"Action Possible",1,"Male"
"85",485,9,"7-8 group","D",1,"Opinion",1,"Male"
"86",486,9,"7-8 group","D",2,"Opinion",1,"Male"
"87",487,9,"7-8 group","D",3,"Moral",0,"Male"
"88",488,9,"7-8 group","D",4,"Moral",0,"Male"
"89",489,9,"7-8 group","D",5,"Immoral",1,"Male"
"90",490,9,"7-8 group","D",6,"Immoral",1,"Male"
"91",241,10,"7-8 group","F",NA,"Action Possible",1,"Male"
"92",242,10,"7-8 group","F",NA,"Action Impossible",0,"Male"
"93",243,10,"7-8 group","F",NA,"Action Impossible",0,"Male"
"94",244,10,"7-8 group","F",NA,"Action Possible",1,"Male"
"95",245,10,"7-8 group","F",1,"Opinion",1,"Male"
"96",246,10,"7-8 group","F",2,"Opinion",1,"Male"
"97",247,10,"7-8 group","F",3,"Moral",0,"Male"
"98",248,10,"7-8 group","F",4,"Moral",0,"Male"
"99",249,10,"7-8 group","F",5,"Immoral",1,"Male"
"100",250,10,"7-8 group","F",6,"Immoral",1,"Male"
"101",501,11,"7-8 group","E",NA,"Action Possible",1,"Female"
"102",502,11,"7-8 group","E",NA,"Action Impossible",0,"Female"
"103",503,11,"7-8 group","E",NA,"Action Impossible",0,"Female"
"104",504,11,"7-8 group","E",NA,"Action Possible",1,"Female"
"105",505,11,"7-8 group","E",1,"Opinion",1,"Female"
"106",506,11,"7-8 group","E",2,"Opinion",1,"Female"
"107",507,11,"7-8 group","E",3,"Moral",1,"Female"
"108",508,11,"7-8 group","E",4,"Moral",1,"Female"
"109",509,11,"7-8 group","E",5,"Immoral",1,"Female"
"110",510,11,"7-8 group","E",6,"Immoral",1,"Female"
"111",611,12,"5-6 group","F",NA,"Action Possible",0,"Male"
"112",612,12,"5-6 group","F",NA,"Action Impossible",0,"Male"
"113",613,12,"5-6 group","F",NA,"Action Impossible",0,"Male"
"114",614,12,"5-6 group","F",NA,"Action Possible",0,"Male"
"115",615,12,"5-6 group","F",1,"Opinion",1,"Male"
"116",616,12,"5-6 group","F",2,"Opinion",1,"Male"
"117",617,12,"5-6 group","F",3,"Moral",0,"Male"
"118",618,12,"5-6 group","F",4,"Moral",0,"Male"
"119",619,12,"5-6 group","F",5,"Immoral",1,"Male"
"120",620,12,"5-6 group","F",6,"Immoral",1,"Male"
"121",681,13,"7-8 group","D",NA,"Action Possible",1,"Male"
"122",682,13,"7-8 group","D",NA,"Action Impossible",0,"Male"
"123",683,13,"7-8 group","D",NA,"Action Impossible",0,"Male"
"124",684,13,"7-8 group","D",NA,"Action Possible",1,"Male"
"125",685,13,"7-8 group","D",1,"Opinion",1,"Male"
"126",686,13,"7-8 group","D",2,"Opinion",1,"Male"
"127",687,13,"7-8 group","D",3,"Moral",1,"Male"
"128",688,13,"7-8 group","D",4,"Moral",0,"Male"
"129",689,13,"7-8 group","D",5,"Immoral",1,"Male"
"130",690,13,"7-8 group","D",6,"Immoral",1,"Male"
"131",371,14,"5-6 group","F",NA,"Action Possible",0,"Male"
"132",372,14,"5-6 group","F",NA,"Action Impossible",0,"Male"
"133",373,14,"5-6 group","F",NA,"Action Impossible",0,"Male"
"134",374,14,"5-6 group","F",NA,"Action Possible",0,"Male"
"135",375,14,"5-6 group","F",1,"Opinion",1,"Male"
"136",376,14,"5-6 group","F",2,"Opinion",1,"Male"
"137",377,14,"5-6 group","F",3,"Moral",1,"Male"
"138",378,14,"5-6 group","F",4,"Moral",0,"Male"
"139",379,14,"5-6 group","F",5,"Immoral",0,"Male"
"140",380,14,"5-6 group","F",6,"Immoral",0,"Male"
"141",521,15,"7-8 group","E",NA,"Action Possible",1,"Female"
"142",522,15,"7-8 group","E",NA,"Action Impossible",0,"Female"
"143",523,15,"7-8 group","E",NA,"Action Impossible",0,"Female"
"144",524,15,"7-8 group","E",NA,"Action Possible",1,"Female"
"145",525,15,"7-8 group","E",1,"Opinion",1,"Female"
"146",526,15,"7-8 group","E",2,"Opinion",1,"Female"
"147",527,15,"7-8 group","E",3,"Moral",1,"Female"
"148",528,15,"7-8 group","E",4,"Moral",1,"Female"
"149",529,15,"7-8 group","E",5,"Immoral",1,"Female"
"150",530,15,"7-8 group","E",6,"Immoral",1,"Female"
"151",21,16,"5-6 group","F",NA,"Action Possible",1,"Female"
"152",22,16,"5-6 group","F",NA,"Action Impossible",0,"Female"
"153",23,16,"5-6 group","F",NA,"Action Impossible",0,"Female"
"154",24,16,"5-6 group","F",NA,"Action Possible",1,"Female"
"155",25,16,"5-6 group","F",1,"Opinion",1,"Female"
"156",26,16,"5-6 group","F",2,"Opinion",1,"Female"
"157",27,16,"5-6 group","F",3,"Moral",0,"Female"
"158",28,16,"5-6 group","F",4,"Moral",0,"Female"
"159",29,16,"5-6 group","F",5,"Immoral",1,"Female"
"160",30,16,"5-6 group","F",6,"Immoral",0,"Female"
"161",51,17,"5-6 group","F",NA,"Action Possible",1,"Male"
"162",52,17,"5-6 group","F",NA,"Action Impossible",0,"Male"
"163",53,17,"5-6 group","F",NA,"Action Impossible",0,"Male"
"164",54,17,"5-6 group","F",NA,"Action Possible",1,"Male"
"165",55,17,"5-6 group","F",1,"Opinion",1,"Male"
"166",56,17,"5-6 group","F",2,"Opinion",1,"Male"
"167",57,17,"5-6 group","F",3,"Moral",1,"Male"
"168",58,17,"5-6 group","F",4,"Moral",1,"Male"
"169",59,17,"5-6 group","F",5,"Immoral",1,"Male"
"170",60,17,"5-6 group","F",6,"Immoral",1,"Male"
"171",91,18,"5-6 group","D",NA,"Action Possible",1,"Female"
"172",92,18,"5-6 group","D",NA,"Action Impossible",0,"Female"
"173",93,18,"5-6 group","D",NA,"Action Impossible",0,"Female"
"174",94,18,"5-6 group","D",NA,"Action Possible",0,"Female"
"175",95,18,"5-6 group","D",1,"Opinion",0,"Female"
"176",96,18,"5-6 group","D",2,"Opinion",0,"Female"
"177",97,18,"5-6 group","D",3,"Moral",0,"Female"
"178",98,18,"5-6 group","D",4,"Moral",0,"Female"
"179",99,18,"5-6 group","D",5,"Immoral",1,"Female"
"180",100,18,"5-6 group","D",6,"Immoral",1,"Female"
"181",321,19,"5-6 group","F",NA,"Action Possible",1,"Male"
"182",322,19,"5-6 group","F",NA,"Action Impossible",0,"Male"
"183",323,19,"5-6 group","F",NA,"Action Impossible",0,"Male"
"184",324,19,"5-6 group","F",NA,"Action Possible",1,"Male"
"185",325,19,"5-6 group","F",1,"Opinion",1,"Male"
"186",326,19,"5-6 group","F",2,"Opinion",1,"Male"
"187",327,19,"5-6 group","F",3,"Moral",0,"Male"
"188",328,19,"5-6 group","F",4,"Moral",0,"Male"
"189",329,19,"5-6 group","F",5,"Immoral",1,"Male"
"190",330,19,"5-6 group","F",6,"Immoral",1,"Male"
"191",511,20,"5-6 group","D",NA,"Action Possible",1,"Male"
"192",512,20,"5-6 group","D",NA,"Action Impossible",0,"Male"
"193",513,20,"5-6 group","D",NA,"Action Impossible",0,"Male"
"194",514,20,"5-6 group","D",NA,"Action Possible",1,"Male"
"195",515,20,"5-6 group","D",1,"Opinion",1,"Male"
"196",516,20,"5-6 group","D",2,"Opinion",1,"Male"
"197",517,20,"5-6 group","D",3,"Moral",1,"Male"
"198",518,20,"5-6 group","D",4,"Moral",1,"Male"
"199",519,20,"5-6 group","D",5,"Immoral",1,"Male"
"200",520,20,"5-6 group","D",6,"Immoral",1,"Male"
"201",721,21,"5-6 group","D",NA,"Action Possible",1,"Female"
"202",722,21,"5-6 group","D",NA,"Action Impossible",0,"Female"
"203",723,21,"5-6 group","D",NA,"Action Impossible",0,"Female"
"204",724,21,"5-6 group","D",NA,"Action Possible",1,"Female"
"205",725,21,"5-6 group","D",1,"Opinion",1,"Female"
"206",726,21,"5-6 group","D",2,"Opinion",1,"Female"
"207",727,21,"5-6 group","D",3,"Moral",0,"Female"
"208",728,21,"5-6 group","D",4,"Moral",0,"Female"
"209",729,21,"5-6 group","D",5,"Immoral",1,"Female"
"210",730,21,"5-6 group","D",6,"Immoral",1,"Female"
"211",531,22,"5-6 group","D",NA,"Action Possible",1,"Female"
"212",532,22,"5-6 group","D",NA,"Action Impossible",0,"Female"
"213",533,22,"5-6 group","D",NA,"Action Impossible",0,"Female"
"214",534,22,"5-6 group","D",NA,"Action Possible",1,"Female"
"215",535,22,"5-6 group","D",1,"Opinion",1,"Female"
"216",536,22,"5-6 group","D",2,"Opinion",1,"Female"
"217",537,22,"5-6 group","D",3,"Moral",0,"Female"
"218",538,22,"5-6 group","D",4,"Moral",0,"Female"
"219",539,22,"5-6 group","D",5,"Immoral",1,"Female"
"220",540,22,"5-6 group","D",6,"Immoral",1,"Female"
"221",121,23,"5-6 group","E",NA,"Action Possible",1,"Male"
"222",122,23,"5-6 group","E",NA,"Action Impossible",0,"Male"
"223",123,23,"5-6 group","E",NA,"Action Impossible",0,"Male"
"224",124,23,"5-6 group","E",NA,"Action Possible",1,"Male"
"225",125,23,"5-6 group","E",1,"Opinion",1,"Male"
"226",126,23,"5-6 group","E",2,"Opinion",1,"Male"
"227",127,23,"5-6 group","E",3,"Moral",0,"Male"
"228",128,23,"5-6 group","E",4,"Moral",1,"Male"
"229",129,23,"5-6 group","E",5,"Immoral",1,"Male"
"230",130,23,"5-6 group","E",6,"Immoral",1,"Male"
"231",111,24,"5-6 group","E",NA,"Action Possible",1,"Male"
"232",112,24,"5-6 group","E",NA,"Action Impossible",0,"Male"
"233",113,24,"5-6 group","E",NA,"Action Impossible",0,"Male"
"234",114,24,"5-6 group","E",NA,"Action Possible",1,"Male"
"235",115,24,"5-6 group","E",1,"Opinion",1,"Male"
"236",116,24,"5-6 group","E",2,"Opinion",1,"Male"
"237",117,24,"5-6 group","E",3,"Moral",0,"Male"
"238",118,24,"5-6 group","E",4,"Moral",0,"Male"
"239",119,24,"5-6 group","E",5,"Immoral",1,"Male"
"240",120,24,"5-6 group","E",6,"Immoral",1,"Male"
"241",271,25,"7-8 group","F",NA,"Action Possible",1,"Female"
"242",272,25,"7-8 group","F",NA,"Action Impossible",0,"Female"
"243",273,25,"7-8 group","F",NA,"Action Impossible",0,"Female"
"244",274,25,"7-8 group","F",NA,"Action Possible",1,"Female"
"245",275,25,"7-8 group","F",1,"Opinion",1,"Female"
"246",276,25,"7-8 group","F",2,"Opinion",1,"Female"
"247",277,25,"7-8 group","F",3,"Moral",0,"Female"
"248",278,25,"7-8 group","F",4,"Moral",1,"Female"
"249",279,25,"7-8 group","F",5,"Immoral",1,"Female"
"250",280,25,"7-8 group","F",6,"Immoral",1,"Female"
"251",131,26,"5-6 group","E",NA,"Action Possible",1,"Male"
"252",132,26,"5-6 group","E",NA,"Action Impossible",0,"Male"
"253",133,26,"5-6 group","E",NA,"Action Impossible",0,"Male"
"254",134,26,"5-6 group","E",NA,"Action Possible",1,"Male"
"255",135,26,"5-6 group","E",1,"Opinion",1,"Male"
"256",136,26,"5-6 group","E",2,"Opinion",1,"Male"
"257",137,26,"5-6 group","E",3,"Moral",NA,"Male"
"258",138,26,"5-6 group","E",4,"Moral",0,"Male"
"259",139,26,"5-6 group","E",5,"Immoral",1,"Male"
"260",140,26,"5-6 group","E",6,"Immoral",1,"Male"
"261",141,27,"5-6 group","E",NA,"Action Possible",1,"Male"
"262",142,27,"5-6 group","E",NA,"Action Impossible",0,"Male"
"263",143,27,"5-6 group","E",NA,"Action Impossible",0,"Male"
"264",144,27,"5-6 group","E",NA,"Action Possible",1,"Male"
"265",145,27,"5-6 group","E",1,"Opinion",1,"Male"
"266",146,27,"5-6 group","E",2,"Opinion",1,"Male"
"267",147,27,"5-6 group","E",3,"Moral",0,"Male"
"268",148,27,"5-6 group","E",4,"Moral",0,"Male"
"269",149,27,"5-6 group","E",5,"Immoral",1,"Male"
"270",150,27,"5-6 group","E",6,"Immoral",1,"Male"
"271",431,28,"5-6 group","F",NA,"Action Possible",1,"Male"
"272",432,28,"5-6 group","F",NA,"Action Impossible",0,"Male"
"273",433,28,"5-6 group","F",NA,"Action Impossible",0,"Male"
"274",434,28,"5-6 group","F",NA,"Action Possible",1,"Male"
"275",435,28,"5-6 group","F",1,"Opinion",1,"Male"
"276",436,28,"5-6 group","F",2,"Opinion",1,"Male"
"277",437,28,"5-6 group","F",3,"Moral",0,"Male"
"278",438,28,"5-6 group","F",4,"Moral",0,"Male"
"279",439,28,"5-6 group","F",5,"Immoral",1,"Male"
"280",440,28,"5-6 group","F",6,"Immoral",1,"Male"
"281",741,29,"7-8 group","F",NA,"Action Possible",1,"Female"
"282",742,29,"7-8 group","F",NA,"Action Impossible",0,"Female"
"283",743,29,"7-8 group","F",NA,"Action Impossible",0,"Female"
"284",744,29,"7-8 group","F",NA,"Action Possible",1,"Female"
"285",745,29,"7-8 group","F",1,"Opinion",1,"Female"
"286",746,29,"7-8 group","F",2,"Opinion",1,"Female"
"287",747,29,"7-8 group","F",3,"Moral",1,"Female"
"288",748,29,"7-8 group","F",4,"Moral",1,"Female"
"289",749,29,"7-8 group","F",5,"Immoral",1,"Female"
"290",750,29,"7-8 group","F",6,"Immoral",1,"Female"
"291",461,30,"5-6 group","E",NA,"Action Possible",0,"Male"
"292",462,30,"5-6 group","E",NA,"Action Impossible",0,"Male"
"293",463,30,"5-6 group","E",NA,"Action Impossible",0,"Male"
"294",464,30,"5-6 group","E",NA,"Action Possible",0,"Male"
"295",465,30,"5-6 group","E",1,"Opinion",0,"Male"
"296",466,30,"5-6 group","E",2,"Opinion",0,"Male"
"297",467,30,"5-6 group","E",3,"Moral",0,"Male"
"298",468,30,"5-6 group","E",4,"Moral",0,"Male"
"299",469,30,"5-6 group","E",5,"Immoral",0,"Male"
"300",470,30,"5-6 group","E",6,"Immoral",0,"Male"
"301",341,31,"5-6 group","F",NA,"Action Possible",1,"Female"
"302",342,31,"5-6 group","F",NA,"Action Impossible",0,"Female"
"303",343,31,"5-6 group","F",NA,"Action Impossible",0,"Female"
"304",344,31,"5-6 group","F",NA,"Action Possible",1,"Female"
"305",345,31,"5-6 group","F",1,"Opinion",1,"Female"
"306",346,31,"5-6 group","F",2,"Opinion",1,"Female"
"307",347,31,"5-6 group","F",3,"Moral",1,"Female"
"308",348,31,"5-6 group","F",4,"Moral",1,"Female"
"309",349,31,"5-6 group","F",5,"Immoral",1,"Female"
"310",350,31,"5-6 group","F",6,"Immoral",1,"Female"
"311",561,32,"7-8 group","E",NA,"Action Possible",1,"Male"
"312",562,32,"7-8 group","E",NA,"Action Impossible",0,"Male"
